feature,rho,p_value,abs_rho,target
texture3d_mean_svarh,-0.7738189052367086,2.0835164070963342e-162,0.7738189052367086,FLU_vs_SHG
texture3d_median_homom,-0.7169713314168612,9.459224909187744e-129,0.7169713314168612,FLU_vs_SHG
texture3d_median_homop,-0.7154299757903129,5.917384954145917e-128,0.7154299757903129,FLU_vs_SHG
texture3d_median_indnc,-0.7143683443628953,2.0772903287836985e-127,0.7143683443628953,FLU_vs_SHG
texture3d_mean_homom,-0.7139877370941442,3.253946671433775e-127,0.7139877370941442,FLU_vs_SHG
texture3d_mean_homop,-0.7121820311724396,2.708922224900565e-126,0.7121820311724396,FLU_vs_SHG
texture3d_mean_indnc,-0.7118652406598599,3.92223332067538e-126,0.7118652406598599,FLU_vs_SHG
texture3d_mean_idmnc,-0.7074301734837433,6.6247161453279786e-124,0.7074301734837433,FLU_vs_SHG
texture3d_median_idmnc,-0.7056388026166487,5.1180018483111584e-123,0.7056388026166487,FLU_vs_SHG
texture3d_mean_maxpr,-0.6669126669247916,2.4526398247425912e-105,0.6669126669247916,FLU_vs_SHG
texture3d_mean_energ,-0.6604712598356698,1.188911439942737e-102,0.6604712598356698,FLU_vs_SHG
texture3d_std_savgh,0.6560467523433057,7.612891725386903e-101,0.6560467523433057,FLU_vs_SHG
texture3d_median_maxpr,-0.6506752685870311,1.081343653354767e-98,0.6506752685870311,FLU_vs_SHG
texture3d_median_energ,-0.6466778323002984,4.051328691120519e-97,0.6466778323002984,FLU_vs_SHG
texture3d_median_savgh,-0.6343786571469809,2.014579902856599e-92,0.6343786571469809,FLU_vs_SHG
texture3d_median_autoc,-0.6339245505092147,2.9752226400678697e-92,0.6339245505092147,FLU_vs_SHG
texture3d_mean_savgh,-0.632519776942382,9.898383768534291e-92,0.632519776942382,FLU_vs_SHG
texture3d_median_corrm,0.6317843567665149,1.8526268135392803e-91,0.6317843567665149,FLU_vs_SHG
texture3d_std_idmnc,0.6162578639632876,7.04243197778991e-86,0.6162578639632876,FLU_vs_SHG
